2001,N
2002,IE
2003,EI
2004,N
2005,N
2006,N
2007,N
2008,EI
2009,N
2010,N
2011,EI
2012,N
2013,N
2014,IE
2015,EI
2016,N
2017,EI
2018,EI
2019,EI
2020,IE
2021,N
2022,N
2023,N
2024,EI
2025,EI
2026,IE
2027,N
2028,N
2029,N
2030,EI
2031,IE
2032,N
2033,N
2034,N
2035,N
2036,N
2037,EI
2038,IE
2039,EI
2040,IE
2041,N
2042,IE
2043,EI
2044,EI
2045,IE
2046,EI
2047,N
2048,N
2049,EI
2050,N
2051,N
2052,IE
2053,IE
2054,N
2055,EI
2056,N
2057,N
2058,N
2059,IE
2060,IE
2061,IE
2062,EI
2063,N
2064,EI
2065,N
2066,IE
2067,N
2068,N
2069,N
2070,N
2071,IE
2072,IE
2073,N
2074,N
2075,N
2076,EI
2077,N
2078,N
2079,N
2080,N
2081,N
2082,N
2083,EI
2084,N
2085,N
2086,EI
2087,IE
2088,EI
2089,N
2090,EI
2091,N
2092,IE
2093,N
2094,N
2095,IE
2096,IE
2097,IE
2098,EI
2099,EI
2100,N
2101,IE
2102,N
2103,N
2104,N
2105,N
2106,IE
2107,EI
2108,N
2109,IE
2110,IE
2111,N
2112,N
2113,N
2114,N
2115,IE
2116,IE
2117,N
2118,N
2119,N
2120,N
2121,IE
2122,N
2123,N
2124,N
2125,N
2126,N
2127,N
2128,N
2129,N
2130,N
2131,EI
2132,N
2133,EI
2134,N
2135,EI
2136,N
2137,IE
2138,N
2139,N
2140,EI
2141,IE
2142,N
2143,N
2144,EI
2145,EI
2146,N
2147,N
2148,IE
2149,IE
2150,N
2151,N
2152,EI
2153,EI
2154,IE
2155,N
2156,IE
2157,N
2158,N
2159,N
2160,IE
2161,N
2162,IE
2163,N
2164,N
2165,IE
2166,IE
2167,N
2168,N
2169,EI
2170,N
2171,EI
2172,N
2173,EI
2174,N
2175,N
2176,EI
2177,IE
2178,N
2179,IE
2180,N
2181,EI
2182,N
2183,EI
2184,IE
2185,IE
2186,N
2187,N
2188,EI
2189,IE
2190,N
2191,IE
2192,IE
2193,N
2194,EI
2195,IE
2196,N
2197,N
2198,EI
2199,N
2200,EI
2201,IE
2202,N
2203,N
2204,N
2205,N
2206,IE
2207,N
2208,N
2209,EI
2210,EI
2211,N
2212,EI
2213,N
2214,IE
2215,N
2216,N
2217,N
2218,N
2219,N
2220,EI
2221,N
2222,N
2223,IE
2224,EI
2225,EI
2226,N
2227,IE
